no_hholds,decile,median_daily_dhw_vol,min_daily_dhw_vol,max_daily_dhw_vol,calibration_daily_dhw_vol,calibration_DHW_variance,,
505,1,32.65432245,16.96483604,41.23671959,42.44537111,3.523983871,,
360,2,48.99778389,41.93415777,55.3205784,60.60260631,4.70177676,,
330,3,61.96575039,56.14859544,68.24538262,74.26910964,6.947848491,,
304,4,74.05911231,68.67632221,80.48350953,86.22806263,8.795132312,,
260,5,85.97345519,80.57919579,91.0894146,97.18019039,9.002418927,,
253,6,99.00678445,91.8036189,104.6727098,107.9999822,10.64147275,,
242,7,111.905453,105.3090153,119.2513989,122.2339555,14.52775719,,
221,8,128.0290318,119.274911,138.2503184,137.250284,17.41419865,,
207,9,149.0633048,139.3722181,164.3141889,156.5216578,20.44430282,,
185,10,181.320663,164.6417817,202.3105204,186.9407351,28.04490462,,
